"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Bennie Fowler","DEN",1.3,15.7,12.1,0.1,0,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandin Cooks","NO",5.8,62.7,10.8,0.2,0,7.47," NO ",4.1,48.4,0.2,5.5,"NO",6,60,1,12,"NOS",4,49,0.24,5
"Brandon Coleman","NO",2.8,32.1,11.3,0.3,0.1,4.81," NO ",2.6,36.7,0.2,4.3,"NO",4,45,0,4.5,"NOS",2.57,33,0.17,3
"Brandon Marshall","NYJ",4.8,72.8,15.2,0.7,0.1,11.28," NYJ",6.4,78.7,0.6,10.3,"NYJ",7,90,1,15,"NYJ",6.13,72,0.73,13
"Brandon Tate","CIN",1.2,14.9,12.3,0.1,0.1,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",0.54,8,0.01,1
"Brian Hartline","CLE",2.9,51.2,17.5,0.2,0,6.32," CLE",2.4,32.9,0.2,4,"CLE",3,30,0,3,"CLE",2.78,36,0.11,4
"Bruce Ellington","SF",1.2,15.9,13.7,0.3,0,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFO",0.8,8,0.06,1
"Calvin Johnson","DET",5.4,67.7,12.5,0.6,0,10.37," DET",5.7,83.6,0.6,11.8,"DET",5,70,1,13,"DET",4.85,72,0.55,13
"Cecil Shorts","HOU",3.3,39.2,12,0.1,0.1,4.32,NA,NA,NA,NA,NA,"HOU",4,45,0,4.5,"HOU",4.93,47,0.08,5
"Charles Johnson","MIN",3,41.4,14,0.2,0,5.34," MIN",3.3,47.8,0.3,5.8,"MIN",3,40,0,4,"MIN",3.32,45,0.23,5
"Chris Hogan","BUF",1.7,20.4,11.7,0.2,0.1,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",1.99,21,0.17,2
"Chris Matthews","SEA",1.7,26.9,15.5,0.2,0,3.89," SEA",0.5,7,0.1,0.4,NA,NA,NA,NA,NA,"SEA",0.62,8,0.01,1
"Cole Beasley","DAL",3.9,45.9,11.7,0.3,0.2,5.99," DAL",3,31.1,0.2,4.2,"DAL",4,45,0,4.5,"DAL",2.87,35,0.32,4
"Cordarrelle Patterson","MIN",1.4,15.4,11.2,0.1,0.1,1.94," MIN",0.6,7.4,0,0.4,NA,NA,NA,NA,NA,"MIN",1.47,14,0.07,2
"Corey Brown","CAR",1.8,29.3,16.3,0.3,0,4.73," CAR",2.3,32.4,0.2,4.2,NA,NA,NA,NA,NA,"CAR",3.96,54,0.66,12
"Corey Fuller","DET",1.9,20.3,10.7,0.1,0.2,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danny Amendola","NE",3.7,41.3,11.1,0.4,0,6.53," NE ",2.2,22.5,0.2,3.1,"NE",2,25,0,2.5,"NEP",3.42,36,0.19,4
"Darrius Heyward-Bey","PIT",2.4,29.3,12.3,0.2,0.2,3.73," PIT",3.1,48.4,0.3,5.8,"PIT",3,35,0,3.5,"PIT",2.59,32,0.19,3
"Davante Adams","GB",4.5,59.7,13.3,0.4,0,8.37," GB ",3.6,52.3,0.4,7.3,"GB",4,55,0,5.5,"GBP",4.98,66,0.29,7
"De'Anthony Thomas","KC",1.5,16.1,11,0.1,0,2.21," KC ",2.3,17.2,0.1,2.2,NA,NA,NA,NA,NA,"KCC",1.57,12,0,2
"DeAndre Hopkins","HOU",6.4,92,14.4,0.7,0.1,13.2," HOU",5.4,78.6,0.4,9.3,"HOU",8,85,1,14.5,"HOU",5.8,78,0.48,8
"Demaryius Thomas","DEN",7.4,96.2,13,0.6,0.1,13.02," DEN",6.9,89.1,0.6,11.9,"DEN",6,85,1,14.5,"DEN",7.7,106,0.76,17
"DeVante Parker","MIA",1.8,20.9,11.7,0.1,0,2.69," MIA",0.9,12.7,0.1,1.4,"MIA",1,15,0,1.5,"MIA",2.21,20,0.05,2
"Devin Funchess","CAR",2.6,38.9,15.1,0.3,0,5.69," CAR",2.6,33.2,0.3,4.6,"CAR",3,35,0,3.5,"CAR",1.71,21,0.02,2
"Devin Smith","NYJ",1.3,22.3,16.6,0.1,0,2.83," NYJ",2.5,34.7,0.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
