"playerId","playername","position","team","vor","points","actualPoints","overallRank","positionRank","dropoff","auctionValue","upper","lower","risk","sleeper"
2495801,"Miles Austin","WR","CLE",-59.0949,169.3971,"144.2",175,67,"2.1725",1,192.7166,107.7599,"5.4312","24"
2506004,"Jerricho Cotchery","WR","CAR",-60.9087,167.5833,"141",176,68,"4.2157",1,190.2059,135.3737,"4.4353","49"
2533046,"Dwayne Allen","TE","IND",-61.43,159.1278,"136.25",177,18,"7.6922",1,181.1393,120.6856,"3.8178","31"
2532884,"Marvin Jones","WR","CIN",-61.6262,166.8658,"null",178,69,"8.1425",1,214.5469,118.9475,"4.4336","50"
2543603,"Jeremy Hill","RB","CIN",-62.428,143.5247,"277.95",179,43,"3.8091",1,186.0201,92.2666,"3.8766","39"
2543583,"Devonta Freeman","RB","ATL",-65.0858,140.867,"98.4",180,44,"4.6054",1,208.0067,6.8,"11.2898","4"
2495194,"Jake Locker","QB","TEN",-65.1597,309.0132,"66.4",181,19,"8.9026",1,371.1668,192.2694,"4.3157","13"
2543664,"Terrance West","RB","CLE",-67.3886,138.5642,"121.25",182,45,"4.951",1,196.7738,60.2222,"7.4592","11"
2532853,"Ladarius Green","TE","SD",-67.9715,152.5862,"52.9",183,19,"4.6085",1,179.7197,39.9776,"11.1697","3"
2495189,"Jeremy Kerley","WR","NYJ",-68.6227,159.8693,"115.9",184,70,"2.4442",1,171.5761,123.8168,"3.7473","69"
497234,"Garrett Graham","TE","HOU",-70.2728,150.2849,"53.55",185,20,"6.3326",1,169.6782,121.3057,"3.1435","45"
2543500,"Jordan Matthews","WR","PHI",-70.9147,157.5773,"245.8",186,71,"1.3808",1,190.227,100.0241,"3.5944","82"
2540169,"Robert Woods","WR","BUF",-71.2191,157.2729,"197.4",187,72,"5.3661",1,180.3978,126.5842,"4.1799","56"
949,"Jonathan Stewart","RB","CAR",-71.9938,133.959,"184.6",188,46,"2.1178",1,166.9002,89.7299,"6.9272","12"
2543743,"Carlos Hyde","RB","SF",-72.6853,133.2675,"80.85",189,47,"2.9515",1,181.2178,73.8892,"4.8497","31"
497190,"Dexter McCluster","WR","TEN",-73.372,155.12,"70.85",190,73,"7.6337",1,169.2718,92.3733,"3.0826","112"
497190,"Dexter McCluster","WR","TEN",-73.372,155.12,"70.85",190,73,"7.6337",1,169.2718,92.3733,"3.0826","112"
2532956,"Ryan Tannehill","QB","MIA",-73.4961,300.6768,"348.3",191,20,"1.8279",1,334.6472,241.6815,"3.7008","23"
2505245,"Carson Palmer","QB","ARI",-74.6285,299.5445,"132.85",192,21,"16.3276",1,342.1206,244.9011,"3.5463","26"
2543466,"Eric Ebron","TE","DET",-74.8872,145.6705,"68.2",193,21,"4.2037",1,162.7478,116.7618,"3.7004","35"
2535708,"Lance Dunbar","RB","DAL",-75.5379,130.4149,"58.5",194,48,"0.7025",1,170.052,24.1673,"6.9263","13"
2495161,"Roy Helu","RB","WAS",-75.7356,130.2172,"163.35",195,49,"1.856",1,158.4391,71.0135,"3.2757","48"
2505076,"Josh McCown","QB","TB",-76.0196,298.1534,"101.7",196,22,"32.259",1,381.8356,213.4011,"4.0279","18"
2495560,"Ahmad Bradshaw","RB","IND",-76.7451,129.2077,"185",197,50,"2.2969",1,186.7921,70.5806,"8.0292","7"
2540148,"Tyler Eifert","TE","CIN",-78.3235,142.2342,"8.55",198,22,"2.924",1,170.466,77.1787,"5.6294","13"
2507999,"Chris Ivory","RB","NYJ",-78.4381,127.5147,"173.25",199,51,"1.3967",1,170.031,86.2126,"3.0947","50"
2507463,"Connor Barth","K","DEN",-78.7936,62.3833,"45.5",200,31,"12.467",1,80.8606,30.5367,"8.1662","2"
2543565,"Andre Williams","RB","NYG",-79.6458,126.3069,"133.05",201,52,"2.147",1,187.7618,57.0567,"6.445","15"
184,"Donnie Avery","WR","KC",-79.7984,148.6936,"38.4",202,74,"4.3328",1,158.7267,131.9742,"5.698","21"
2532838,"Coby Fleener","TE","IND",-79.8583,140.6994,"215.1",203,23,"4.5928",1,176.8331,110.1164,"4.6172","19"
