"playerId","playername","position","team","vor","points","actualPoints","overallECR","overallRank","positionRank","cost","dropoff","adp","adpdiff","auctionValue","upper","lower","risk","sleeper"
2552633,"Jesse James","TE","PIT",-167.618,31.3494,"null","null",426,71,"null","0.1455","120.37","-315.63",0.5,51.5365,3.38,"5.3009","null"
2541187,"Demetrius Harris","TE","KC",-167.736,31.2313,"null","null",427,72,"null","1.0813","null","null",0.25,48.9733,2.5,"3.814","null"
2507182,"Matt Spaeth","TE","PIT",-167.791,31.1764,"null","null",428,73,"null","2.3814","null","null",0,73.2174,0.15,"4.7078","null"
2533540,"Edwin Baker","RB","NO",-167.9459,13.9427,"null","null",429,151,"null","0.3611","222","-217",0,26.8654,-4.2265,"3.4246","null"
2532926,"Isaiah Pead","RB","FA",-168.0436,13.8449,"null","null",430,152,"null","0.6826","null","null",0,28.2179,-4.6474,"3.152","null"
2507183,"James Jones","WR","NYG",-168.1059,62.0216,"null","null",431,129,"null","1.6442","207","-234",0.75,119.9866,11.1263,"5.7763","20"
2530515,"Chris Hogan","WR","BUF",-168.1581,61.9694,"null","null",432,130,"null","4.0303","194","-248",0.5,115.5875,14.2779,"5.8591","17"
2530516,"Robert Hughes","RB","ARI",-168.5703,13.3182,"null","null",433,153,"null","0.5369","106","-337",0,23.6816,-9.7296,"5.1656","null"
2536532,"Jorvorskie Lane","RB","TB",-168.8822,13.0064,"null","null",434,154,"null","0.5481","null","null",0.5,22.7358,0.25,"6.4784","null"
2543695,"Jay Prosch","RB","HOU",-169.3322,12.5563,"null","null",435,155,"null","0.2191","null","null",0,26.0352,-1.8848,"4.6219","null"
2506341,"Ronnie Brown","RB","FA",-169.5285,12.3601,"null","null",436,156,"null","0.1057","null","null",0.5,13.211,-2.1626,"6.4304","null"
2552647,"Marcus Murphy","RB","NO",-169.5742,12.3144,"null","null",437,157,"null","0.2246","56","-391",0,21.9813,3.7068,"4.7872","null"
2551247,"Josh Harris","RB","PIT",-169.6942,12.1944,"null","null",438,158,"null","0.3652","142","-306",0.25,19.3877,-10.2215,"4.4798","null"
2495724,"Dante Rosario","TE","CHI",-169.8437,29.1237,"null","null",439,74,"null","1.037","null","null",0.25,41.6025,0.9622,"3.4347","null"
2540224,"Mike James","RB","TB",-169.9034,11.9852,"null","null",440,159,"null","0.4181","null","null",0.5,29.8863,0,"4.7367","null"
2550481,"Orleans Darkwa","RB","NYG",-170.2154,11.6732,"null","null",441,160,"null","0.2376","59","-392",0,21.074,-1.3739,"4.9682","null"
2495474,"Ryan Williams","RB","DAL",-170.4276,11.4609,"null","null",442,161,"null","0.2555","260","-192",0.5,23.4579,-1.775,"5.6181","null"
2541910,"George Winn","RB","DET",-170.4784,11.4102,"null","null",443,162,"null","0.4364","null","null",0.3333,19.1847,0,"6.0561","null"
2507170,"Zach Miller","TE","FA",-170.5011,28.4662,"null","null",444,75,"null","0.7989","314","-140",0.1429,50.775,0,"8.5462","null"
2552636,"Michael Burton","RB","DET",-170.888,11.0006,"null","null",445,163,"null","0.2703","null","null",0,18.9924,-1.9729,"5.2197","null"
2550738,"Fitzgerald Toussaint","RB","BAL",-170.9416,10.9469,"null","null",446,164,"null","0.4481","null","null",0.5,21.2821,-1.3094,"4.9204","null"
2540259,"MarQueis Gray","TE","BUF",-171.2601,27.7073,"null","null",447,76,"null","0.3111","null","null",0.25,42.0471,8.0181,"4.9668","null"
2540215,"Vance McDonald","TE","SF",-171.34,27.6274,"null","null",448,77,"null","0.6719","null","null",0,48.0279,0.6,"1.6717","null"
2539250,"Quinton Patton","WR","SF",-171.3421,58.7854,"null","null",449,131,"null","1.9771","294.6","-164.4",0.5,75.315,17.8075,"2.9752","null"
2507278,"Jackie Battle","RB","FA",-171.375,10.5136,"null","null",450,165,"null","0.1762","466","6",0.3333,13.1051,-3.7282,"5.4415","null"
2534437,"Austin Johnson","RB","NO",-171.4044,10.4842,"null","null",451,166,"null","0.3279","null","null",0,16.4072,-2.5152,"4.4264","null"
2508096,"Tyler Clutts","RB","DAL",-171.6979,10.1906,"null","null",452,167,"null","0.3902","null","null",0,21.3706,-1.0487,"3.03","null"
2507596,"Marcus Thigpen","RB","BUF",-171.7666,10.122,"null","null",453,168,"null","0.8851","null","null",0,7.0323,0,"7.5889","null"
2540232,"Jack Doyle","TE","IND",-171.8025,27.1649,"null","null",454,78,"null","0.7977","null","null",0.25,45.7183,2.35,"2.6722","null"
2552399,"Jeff Heuerman","TE","DEN",-172.2213,26.7461,"null","null",455,79,"null","0.9917","92.75","-372.25",0.25,60.0044,0,"9.1938","null"
2553511,"John Crockett","RB","GB",-172.4097,9.4788,"null","null",456,169,"null","0.6612","138.5","-327.5",0,18.7377,-6.3376,"11.3164","null"
2553446,"Malcolm Johnson","RB","CLE",-172.8936,8.995,"null","null",457,170,"null","0.3705","null","null",0,12.2303,-1.7,"6.8394","null"
2541316,"Ryan Griffin","TE","HOU",-172.9791,25.9883,"null","null",458,80,"null","0.5246","null","null",0.25,47.2046,2.5,"1.9384","null"
2541966,"Jaron Brown","WR","ARI",-173.0348,57.0927,"null","null",459,132,"null","2.6095","209.5","-259.5",0.5,81.8864,20.6246,"1.5802","106"
79629,"Cedric Peerman","RB","CIN",-173.2483,8.6403,"null","null",460,171,"null","0.0611","188","-282",0,19.7931,0,"6.0266","null"
2550448,"Trey Watts","RB","STL",-173.2799,8.6086,"null","null",461,172,"null","0.3163","null","null",0,23.9983,0,"5.4559","null"
2550233,"Rajion Neal","RB","GB",-173.3388,8.5498,"null","null",462,173,"null","0.7054","null","null",0.3333,14.6783,-2.2154,"5.6696","null"
497242,"Clay Harbor","TE","JAC",-173.4468,25.5206,"null","null",463,81,"null","0.4358","null","null",0.5,58.1564,7.65,"7.3277","null"
71247,"James Casey","TE","DEN",-173.5606,25.4068,"null","null",464,82,"null","1.2154","null","null",0.5,38.1395,6.5297,"3.1776","null"
2543491,"Paul Richardson","WR","SEA",-173.6035,56.524,"null","null",465,133,"null","4.2557","219.67","-255.33",0.5,86.2805,14.59,"4.0166","54"
2530699,"Henry Hynoski","RB","NYG",-173.8538,8.0348,"null","null",466,174,"null","0.4113","null","null",0,17.1959,-6.5441,"4.2764","null"
2506562,"Matt Cassel","QB","BUF",-173.9398,149.2984,"null","254",467,30,"null","17.8127","169.55","-307.45",0.5,235.2278,-8.7271,"8.6715","2"
2495211,"Niles Paul","TE","WAS",-174.2045,24.7629,"null","null",468,83,"null","1.3349","248.75","-229.25",0.5,55.9526,0,"12.5815","null"
2550633,"Senorise Perry","RB","CHI",-174.2345,7.654,"null","null",469,175,"null","0.1265","null","null",0,10.674,5.15,"7.8113","null"
2550255,"Jerome Smith","RB","ATL",-174.2956,7.5929,"null","null",470,176,"null","0.2674","null","null",0,16.1808,0,"9.3852","null"
2507897,"Alfonso Smith","RB","FA",-174.4263,7.4622,"null","null",471,177,"null","0.3659","null","null",0,7.9783,-6.3261,"6.9183","null"
2495461,"Shaun Draughn","RB","CLE",-174.6997,7.1889,"null","null",472,178,"null","0.2639","null","null",1,11.5964,-0.0521,"6.8117","null"
2534789,"Daryl Richardson","RB","NYJ",-174.8849,7.0037,"null","null",473,179,"null","0.3831","null","null",0,15.8641,-1.4211,"4.74","null"
2495469,"Dion Lewis","RB","NE",-175.0423,6.8463,"null","null",474,180,"null","0.9204","231.67","-252.33",0,11.4621,-2.5426,"5.4948","null"
238457,"Zach Miller","TE","CHI",-175.3474,23.62,"null","null",475,84,"null","1.4768","314","-171",0,49.9509,0,"8.5581","null"
2552476,"Kenny Hilliard","RB","HOU",-175.4937,6.3949,"null","null",476,181,"null","1.0478","117.85","-368.15",0,11.6411,0.41,"7.8856","null"
2550206,"Ryan Hewitt","TE","CIN",-175.7315,23.2359,"null","null",477,85,"null","2.7854","null","null",0.5,40.5926,0,"3.9299","null"
2553631,"Zach Zenner","RB","DET",-176.4317,5.4568,"null","null",478,182,"null","0.5969","148.64","-339.36",0.5,11.4672,0,"4.784","null"
2532851,"Cyrus Gray","RB","FA",-176.6512,5.2374,"null","null",479,183,"null","0.944","null","null",0,10.6987,-5.359,"5.1283","null"
2541432,"Michael Cox","RB","FA",-177.406,4.4825,"null","null",480,184,"null","0.5769","null","null",0,7.015,-2.9884,"7.0261","null"
2495802,"Jason Avant","WR","KC",-177.6851,52.4424,"null","null",481,134,"null","0.4341","239","-252",0.5,87.0511,17.3948,"4.9083","10"
2508051,"John Conner","RB","BUF",-177.7844,4.1041,"null","null",482,185,"null","0.5028","null","null",0,7.9142,0,"7.6882","null"
2495347,"Lee Smith","TE","OAK",-177.917,21.0504,"null","null",483,86,"null","1.7196","null","null",0,34.6558,0.3,"6.059","null"
2552425,"Rashad Greene","WR","JAC",-178.0335,52.094,"null","null",484,135,"null","0.3914","130.83","-363.17",0.5,67.6574,21.5886,"3.2942","null"
2550175,"Ray Agnew","RB","DAL",-178.1815,3.7071,"null","null",485,186,"null","0.2579","230","-265",0,7.5502,0,"6.2517","null"
2539256,"Aaron Dobson","WR","NE",-178.2049,51.9226,"null","289",486,136,"null","1.5081","253.2","-242.8",0.5,125.552,1.7333,"8.0889","2"
4383,"Tim Hightower","RB","NO",-178.3931,3.4955,"null","null",487,187,"null","0.1045","null","null",0,6.4803,0,"7.3913","null"
2550596,"Darrin Reaves","RB","CAR",-178.4856,3.4029,"null","null",488,188,"null","0.1604","null","null",0.25,12.5525,-3.565,"6.8789","null"
2543559,"Lache Seastrunk","RB","FA",-178.5096,3.3789,"null","null",489,189,"null","0.295","null","null",0.25,6.8473,-1.3439,"5.0425","null"
2495801,"Miles Austin","WR","PHI",-178.6447,51.4828,"null","null",490,137,"null","3.036","243","-257",0.5,83.7205,20.2311,"2.9693","65"
2550157,"Kiero Small","RB","BAL",-178.7824,3.1062,"null","null",491,190,"null","0.2198","null","null",0,7.3528,0,"7.307","null"
2536044,"Jamize Olawale","RB","OAK",-178.8269,3.0616,"null","null",492,191,"null","0.483","null","null",0,5.676,0,"7.6086","null"
2539202,"Chris Gragg","TE","BUF",-179.1168,19.8506,"null","null",493,87,"null","2.5969","240","-263",0.25,46.9972,0,"8.2941","null"
2531218,"Chase Reynolds","RB","STL",-179.1774,2.7112,"null","null",494,192,"null","0.4281","null","null",0,4.0238,0.9274,"8.6463","null"
2536056,"Jeremy Stewart","RB","DEN",-179.4425,2.4461,"null","null",495,193,"null","0.4148","37","-468",0.5,5.1278,-2.4073,"7.6862","null"
2539663,"Mike Gillislee","RB","MIA",-179.7684,2.1202,"null","null",496,194,"null","0.5106","null","null",0.25,3.3248,-1.4997,"8.1548","null"
2553486,"Trey Williams","RB","WAS",-179.9463,1.9423,"null","null",497,195,"null","0.772","186","-321",0.3333,3.4096,-1.3288,"8.3426","null"
1992,"Craig Stevens","TE","TEN",-180.1563,18.8111,"null","null",498,88,"null","3.3603","null","null",0,31.6013,0,"2.0433","null"
2506581,"Ryan Fitzpatrick","QB","NYJ",-180.4087,142.8295,"null","232",499,31,"null","32.7156","188.79","-320.21",0.5,239.6726,9.4642,"7.8999","4"
2539289,"Kenjon Barner","RB","PHI",-180.6116,1.277,"null","null",500,196,"null","0.5244","260.83","-249.17",0.75,2.3912,-0.958,"5.8918","null"
2543759,"Ryan Grant","WR","WAS",-180.7813,49.3462,"null","null",501,138,"null","2.1716","117.5","-393.5",0.5,88.7877,10.895,"3.4257","59"
2553650,"Corey Grant","RB","JAC",-180.8249,1.0636,"null","null",502,197,"null","0.6564","null","null",0.5,1.6944,0,"8.6611","null"
2552477,"Aaron Ripkowski","RB","GB",-181.4469,0.4416,"null","null",503,198,"null","0.0705","null","null",0.25,0.6911,-0.0415,"8.9466","null"
2551357,"Glenn Winston","RB","CLE",-181.5157,0.3728,"null","null",504,199,"null","0.0437","null","null",0,0.532,0,"9.002","null"
2540274,"Matthew Tucker","RB","PHI",-181.5191,0.3695,"null","null",505,200,"null","0.225","104","-411",0,0.8102,0,"6.8655","null"
2552634,"Joey Iosefa","RB","TB",-181.5997,0.2889,"null","null",506,201,"null","0.2889","null","null",0,0.4521,-1.39e-17,"9.0154","null"
