"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","fft_team","fft_rushatt","fft_rushyd","fft_rushtd","fft_recpts","fft_recyd","fft_rectd","fft_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Eddie Lacy","GB",16,71.4,0.5,2.5,22.4,0.1,0.1,12.78," GB ",18.6,84.6,0.5,2.6,17.9,0.1,12.4,NA,NA,NA,NA,NA,NA,NA,NA,"GB",11.76,53,0.35,1.57,15,0.07,9," GB",16.9,76.3,0.6,2.5,21,0.1,"0.1",13.4,"GB","7",14.83,65.47,0.3,3.06,28.45,0.02,11.17
"Frank Gore","IND",13.9,56,0.3,1.6,10.3,0,0.2,8.03," IND",17,68.5,0.5,2.2,17.9,0.1,10,NA,NA,NA,NA,NA,NA,NA,NA,"IND",11.13,47,0.31,1.49,9,0.04,7,"IND",15.1,59.5,0.5,1.8,13.7,0,"0.2",10.3,"IND","21",12.69,46.8,0.36,2.48,18.13,0.09,9.03
"Fred Jackson","SEA",6,33.1,0.2,1.9,17.2,0.1,0.1,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",7.96,36,0.14,2.15,18,0.11,7,"SEA",4.1,19.7,0.1,1.6,13.2,0.1,"0.1",4.3,"SEA","52",2.78,13.16,0.14,1.94,14.37,0.05,3.87
"Giovani Bernard","CIN",12.4,48.6,0.3,3.2,22.8,0.1,0.1,9.34," CIN",11.9,43.7,0.4,3,22.9,0.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",11.07,52,0.27,2.62,18,0.04,10,"CIN",11,43,0.3,2.9,21.1,0.1,"0.1",8.3,"CIN","27",11.83,43.39,0.34,2.83,18.03,0.07,8.21
"Isaiah Crowell","CLE",14,56.8,0.4,1.3,17.9,0,0.1,9.67," CLE",13.7,53.2,0.2,1.1,8.9,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,"CLE",9.52,37,0.34,0.87,11,0.01,6,"CLE",12.8,49.4,0.3,1.3,12.6,0,"0.1",7.6,"CLE","28",10.84,43.83,0.36,1.85,16.43,0.06,8.2
"Jacquizz Rodgers","CHI",3.8,16.3,0.1,1.5,9.7,0.1,0.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHI",2.77,9,0,0.8,6,0,3,"CHI",2.9,12.2,0,0.7,5.8,0,"0.1",2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaal Charles","KC",13.6,69.8,1,4,33.6,0.6,0.4,19.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",15.88,82,0.84,3.86,30,0.29,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC","1",15.78,74.64,0.74,4.24,37.61,0.32,17.35
"James Starks","GB",8.3,35.3,0.2,1.4,9.8,0.1,0.2,5.91," GB ",6.4,28.4,0.1,0.9,7.2,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,"GB",5.28,20,0.05,0.86,6,0.02,4," GB",6.8,27.9,0.1,1.3,10.4,0,"0.1",4.8,"GB","45",7.91,28.88,0.23,1.73,12.11,0,5.34
"Javorius Allen","BAL",4.2,17.5,0.2,0.6,4.6,0,0.1,3.21," BAL",8.4,37.2,0.3,1.2,9.8,0,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",5.6,23.8,0.2,1.2,8.9,0,"0.1",4.5,"BAL","50",4.26,17.37,0.13,1.75,13.06,0.05,4.07
"Jeremy Hill","CIN",13.1,48.3,0.7,1,6.9,0,0.5,8.72," CIN",13.6,53.1,0.5,0.9,6.7,0,7.7,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",9.3,38,0.58,1.04,7,0.03,12,"CIN",12.6,49.6,0.4,1.2,8.5,0,"0.3",7.5,"CIN","15",13.06,53.81,0.28,2.81,23.12,0.04,9.54
"Jeremy Langford","CHI",3.7,17.2,0.1,1.3,9.3,0,0.1,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHI","47",4.22,18.21,0.15,1.99,14.82,0.03,4.37
"John Kuhn","GB",1.2,4,0.3,0.8,5.1,0,0.1,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph Randle","DAL",13.4,56.6,0.4,1.1,11.7,0,0.1,9.03," DAL",13.4,62.8,0.5,1.5,12.2,0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",16.57,76,1.01,1.91,17,0.01,17,"DAL",14.3,60.6,0.6,1.7,13.7,0,"0.1",10.8,"DAL","9",15.51,66.48,0.42,1.66,12.69,0.04,10.47
"Josh Robinson","IND",6.3,26,0.2,1.6,12.2,0,0.1,4.82," IND",4.9,18.6,0.2,0.9,7.1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"IND",5.03,16,0.05,1.35,9,0.03,4,"IND",4.6,18.4,0.1,1.1,7.6,0,"0.1",3.1,"IND","56",4.56,17.32,0.09,1.48,9.76,0.02,3.31
"Justin Forsett","BAL",14.2,62.9,0.3,2.5,13,0.1,0.1,9.79," BAL",18.8,94.6,0.5,2.7,21,0.1,14.3,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",16.63,79,0.23,2.89,15,0.05,12,"BAL",17.8,79.7,0.6,2.8,18.4,0.1,"0.1",13.4,"BAL","5",13.43,66.75,0.53,2.2,16.24,0.06,11.75
"Juwan Thompson","DEN",3.8,14.3,0.1,1.3,8.6,0.1,0.1,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
