"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Eddie Royal","CHI",3.6,40,0.3,0.1,9.24," CHI",4.6,55.9,0.3,11.5,"CHI",3.38,30,0.21,6.38,"CHI",0,0,0,3.5,37.5,0.2,"0.1",8.4,"CHI","46",0.02,0,0,3.13,34.37,0.22,7.89
"Emmanuel Sanders","DEN",6.5,77.3,0.7,0,18.43," DEN",6.3,88.3,0.5,17.2,"DEN",6.73,85,0.47,15.73,"DEN",0.3,2,0,5.9,77.4,0.6,"0.0",17.5,"DEN","10",0.07,0.45,0,5.42,73.69,0.54,16.03
"Eric Decker","NYJ",4.8,65.5,0.4,0,13.77," NYJ",3.8,46.3,0.3,9.4,"NYJ",4.02,46,0.49,9.02,"NYJ",0,0,0,4.7,60.6,0.5,"0.0",13.9,"NYJ","37",0,0,0,3.53,47.38,0.36,10.37
"Golden Tate","DET",5.3,59.1,0.2,0,12.41," DET",4.6,55.3,0.2,10.8,"DET",4.99,60,0.14,10.99,"DET",0.3,2,0,4.6,60.2,0.3,"0.1",12.3,"DET","22",0.27,2,0,4.62,57.9,0.39,12.95
"Greg Jennings","MIA",1.6,18.4,0.2,0,4.62," MIA",1.8,25.4,0.1,4.6,"MIA",4.1,47,0.23,9.1,"MIA",0,0,0,1.6,19.8,0.1,"0.0",4.1,"MIA","64",0,0,0,2.07,24.49,0.11,5.22
"Jaelen Strong","HOU",2,26.9,0.1,0,5.34,NA,NA,NA,NA,NA,"HOU",1.65,24,0.04,3.65,"HOU",0,0,0,1.9,25.6,0.1,"0.0",5.3,"HOU","74",0,0,0,1.52,21.24,0.12,4.34
"James Jones","GB",4.5,61.9,0.6,0,14.3," GB ",4,59.1,0.5,12,"GB",3.23,50,0.51,14.23," GB",0,0,0,4.5,62.1,0.7,"0.1",14.8,"GB","17",0,0,0,5.36,63.14,0.48,14.51
"Jarius Wright","MIN",3,37.7,0.2,0,7.97,NA,NA,NA,NA,NA,"MIN",2.4,35,0.17,6.4,"MIN",0.1,0.6,0,1.7,24.1,0.1,"0.0",4.9,"MIN","90",0.01,0,0,1.33,16.51,0.09,3.5
"Jaron Brown","ARI",1.7,24.3,0.2,0,5.3," ARI",1,12.7,0.1,2.6,NA,NA,NA,NA,NA,"ARI",0.1,0,0,1,13.5,0.1,"0.0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarvis Landry","MIA",5.8,58.7,0.3,0.2,13.07," MIA",6,62.9,0.3,14,"MIA",5.5,54,0.21,11.5,"MIA",0.5,3.6,0,5.9,63,0.5,"0.1",15.3,"MIA","16",0.32,1.56,0,5.64,66.64,0.39,14.7
"Jason Avant","KC",1.9,15.9,0.1,0,4.14,NA,NA,NA,NA,NA,"KC",1.44,13,0,2.44," KC",0,0,0,1.3,12.8,0,"0.0",2.8,"KC","89",0,0,0,1.48,17.42,0.05,3.52
"Jeremy Kerley","NYJ",1.8,20.5,0.2,0,5.03,NA,NA,NA,NA,NA,"NYJ",1.68,16,0.14,3.68,"NYJ",0,0.1,0,1.2,13.1,0.1,"0.0",3.3,"NYJ","96",0.04,0.24,0,1.3,13.49,0.04,2.89
"Jeremy Maclin","KC",4.8,58.3,0.4,0,13.07," KC ",5.7,73.1,0.3,14.4,"KC",5.8,81,0.23,13.8," KC",0.1,0.8,0,5.9,77.4,0.5,"0.0",16.7,"KC","15",0.12,1.11,0,5.1,72.3,0.4,14.84
"Jermaine Kearse","SEA",2.5,47.6,0.2,0,8.47," SEA",3.2,46.5,0.3,9.2,"SEA",3.01,50,0.26,8.01,"SEA",0,0.1,0,3,36.8,0.2,"0.0",7.9,"SEA","51",0.02,0.42,0,2.8,33.23,0.19,7.27
"John Brown","ARI",4.3,60.1,0.3,0,12.09," ARI",3.7,52.7,0.3,10.7,"ARI",3.57,52,0.33,8.57,"ARI",0.2,1,0,4.5,60.6,0.5,"0.0",13.6,"ARI","27",0.07,0.38,0,3.68,53.18,0.47,11.86
"Jordan Matthews","PHI",5.7,77.2,0.5,0,16.42," PHI",5.7,61.2,0.4,14,"PHI",5.39,68,0.48,12.39,"PHI",0,0,0,5.3,69,0.5,"0.0",15.5,"PHI","12",0,0,0,5.68,73.38,0.43,15.52
"Jordan Norwood","DEN",1.8,20.1,0.2,0,4.98," DEN",2.7,32.3,0.2,6.9,"DEN",2.35,20,0.02,4.35,"DEN",0,0,0,1.8,20.9,0.1,"0.0",4.7,"DEN","76",0,0,0,1.7,18.94,0.11,4.31
"Josh Bellamy","CHI",2.2,28.2,0.6,0,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHI","98",0,0,0,1.06,11.51,0.1,2.83
"Josh Huff","PHI",1.5,21.1,0.1,0.2,3.82," PHI",1.2,12.4,0.1,2.6,NA,NA,NA,NA,NA,"PHI",0.1,1.1,0,1.9,24.7,0.1,"0.1",5,"PHI","72",0.09,1.18,0.01,1.57,21.96,0.08,4.43
"Julio Jones","ATL",8.8,121,0.7,0.1,24.9," ATL",7.6,99.4,0.6,20.3,"ATL",6.28,86,0.42,15.28,"ATL",0,0,0,6.3,85,0.7,"0.1",18.7,"ATL","9",0,0,0,5.28,73.36,0.63,16.44
"Kamar Aiken","BAL",2.1,29.1,0.2,0.1,6.03," BAL",3.3,44.2,0.3,9,"BAL",3.74,51,0.29,8.74,"BAL",0,0,0,4.2,52.8,0.3,"0.1",11,"BAL","32",0,0,0,4.03,49.38,0.37,11.23
"Keenan Allen","SD",6.5,77.4,0.6,0.2,17.44," SD ",5.5,74,0.4,15.1,"SD",5.54,66,0.47,12.54," SD",0,0,0,6,76.2,0.5,"0.1",16.7,"SD","8",0,0,0,6.4,76.42,0.41,16.54
"Kenny Britt","STL",2.8,34.8,0.2,0,7.45," STL",3.5,52.5,0.2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenny Stills","MIA",2.3,32.3,0.1,0,6.1," MIA",1.6,23,0.1,4.1,"MIA",3.58,43,0.17,7.58,"MIA",0,0,0,2,28.2,0.1,"0.0",5.7,"MIA","55",0.01,0.03,0,2,29.28,0.21,6.17
